data_fato,hora_fato,grupo_incidente,tipo_incidente,uf,municipio,bairro,tipo_local,fonte_dados,categoria_macro,ano,mes,mes_nome,data_mes,dia_da_semana_num,dia_da_semana,fim_de_semana,hora_num,periodo_dia
2025-01-01,14:17:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE,ES,CARIACICA,VILA INDEPENDENCIA,VIA PÚBLICA,estelionatos,patrimonial,2025.0,1.0,JAN,2025-01-01,2.0,QUA,False,14.0,TARDE
2025-01-01,22:54:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE,ES,SERRA,SERRA CENTRO,VIA PÚBLICA,estelionatos,patrimonial,2025.0,1.0,JAN,2025-01-01,2.0,QUA,False,22.0,NOITE
2025-01-01,10:40:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE,ES,VITORIA,MARIA ORTIZ,AMBIENTE WEB,estelionatos,patrimonial,2025.0,1.0,JAN,2025-01-01,2.0,QUA,False,10.0,MANHA
2025-01-01,08:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE,ES,VILA VELHA,ILHA DOS AYRES,OUTRO LOCAL,estelionatos,patrimonial,2025.0,1.0,JAN,2025-01-01,2.0,QUA,False,8.0,MANHA
2025-01-01,10:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE,ES,PINHEIROS,COLINA,AMBIENTE WEB,estelionatos,patrimonial,2025.0,1.0,JAN,2025-01-01,2.0,QUA,False,10.0,MANHA
2025-01-01,23:30:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE,ES,VILA VELHA,VILA NOVA,AMBIENTE WEB,estelionatos,patrimonial,2025.0,1.0,JAN,2025-01-01,2.0,QUA,False,23.0,NOITE
2025-01-01,18:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE,ES,MARATAIZES,BARRA DE ITAPEMIRIM,AMBIENTE WEB,estelionatos,patrimonial,2025.0,1.0,JAN,2025-01-01,2.0,QUA,False,18.0,NOITE
2025-01-01,02:38:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE,ES,SERRA,JARDIM CARAPINA,RESIDÊNCIA,estelionatos,patrimonial,2025.0,1.0,JAN,2025-01-01,2.0,QUA,False,2.0,MADRUGADA
2025-01-01,15:10:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE,ES,NOVA VENECIA,OUTRO LOCAL,ESCRITORIO,estelionatos,patrimonial,2025.0,1.0,JAN,2025-01-01,2.0,QUA,False,15.0,TARDE
2025-01-01,19:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ESTELIONATO/FRAUDE,ES,VITORIA,MATA DA PRAIA,AMBIENTE WEB,estelionatos,patrimonial,2025.0,1.0,JAN,2025-01-01,2.0,QUA,False,19.0,NOITE
